PARTY,ELECTORATE,SURNAME,FIRST NAME(S), TOTAL DONATIONS , TOTAL EXPENSES ,2020 Donor Return Part A Name and Steet Address,Date received,Contributions,Amount,Title,Name,Company/Org,Address,Other detail,Money or Goods and Services,Part B Contribution Name and Address,Date received,Donor Part A,Amount,Name,Company/Org,Address,Other detail,Money or Goods and Services,Notes
National Party,Mt Albert,LEE,Melissa,,,"Satyan Mehra, 123 Dominion Road, Mt Eden, Auckland",9/21/2020,NO," $2,000.00 ",,Satyan Mehra,,"123 Dominion Road, Mt Eden, Auckland",,Money,,,,,,,,,,
National Party,Mt Albert,LEE,Melissa,,,"NZ National Party Epsom, 41 Pipitea St, Wellington",9/16/2020,NO," $3,000.00 ",,,NZ National Party Epsom,"41 Pipitea St, Wellington",,Money,,,,,,,,,,Missing name of individual at whose direction the donation was made
National Party,Mt Albert,LEE,Melissa,,,"NZ National Party Korean Group, 41 Pipitea St, Wellington",7/17/2020,NO," $3,140.00 ",,,NZ National Party Korean Group,"41 Pipitea St, Wellington",,Money,,,,,,,,,,Missing name of individual at whose direction the donation was made
Advance NZ,Panmure-Ōtāhuhu,JONES,Bryn," $21,459.00 "," $22,712.35 ",,,,,,,,,,,,,,,,,,,,
Advance NZ,Panmure-Ōtāhuhu,JONES,Bryn,,,"Bryn Jones, 1 Rope Rd ",9/3/2020,NO," $21,459.00 ",,Bryn Jones,,1 Rope Rd,,Money,,,,,,,,,,Donated to self
Advance NZ,Panmure-Ōtāhuhu,JONES,Bryn,,,"Bryn Jones, 1 Rope Rd ",9/3/2020,NO,,,Bryn Jones,,1 Rope Rd,,Money,"Ruth Wells, 12b St Michaels Ave, Pt Chev ",8/10/2020,Bryn Jones," $1,000.00 ",Ruth Wells,,"12b St Michaels Ave, Pt Chev ",,Money,Completed Part B when shouldn’t have (amount in Part B under $1500)
National Party,New Plymouth,YOUNG,Jonathan," $22,122.97 "," $18,352.25 ",,,,,,,,,,,,,,,,,,,,
National Party,New Plymouth,YOUNG,Jonathan,,,"NZ National Party, 41 Pipitea St, Wellington",7/31/2020,NO," $6,862.97 ",,,NZ National Party,"41 Pipitea Street, Wellington",,Money,,,,,,,,,,Missing name of individual at whose direction the donation was made
National Party,New Plymouth,YOUNG,Jonathan,,,"NZ National Party, 41 Pipitea St, Wellington",8/31/2020,NO," $3,850.00 ",,,NZ National Party,"41 Pipitea Street, Wellington",,Money,,,,,,,,,,Missing name of individual at whose direction the donation was made
National Party,New Plymouth,YOUNG,Jonathan,,,"NZ National Party, 41 Pipitea St, Wellington",9/30/2020,NO," $11,410.00 ",,,NZ National Party,"41 Pipitea Street, Wellington",,Money,,,,,,,,,,Missing name of individual at whose direction the donation was made
National Party,Waimakariri,DOOCEY,Matt," $22,200.00 "," $14,850.90 ",,,,,,,,,,,,,,,,,,,,
National Party,Waimakariri,DOOCEY,Matt,,,"NZ National Party, Waimakariri Electorate, 41 Pipitea St, Wellington","10/07/20, 10/08/20, 24/08/20",NO," $22,200.00 ",,,"NZ National Party, Waimakariri Electorate","41 Pipitea Street, Wellington",,Money,,,,,,,,,,Missing name of individual at whose direction the donation was made
Labour Party,North Shore,UDANGA,Romy," $22,244.89 "," $21,624.21 ",,,,,,,,,,,,,,,,,,,,
Labour Party,North Shore,UDANGA,Romy,,,"Jun Kuo Jia 6 Sophora Way, Albany 0630 ",6/16/2020,NO," $2,000.00 ",,Jun Kuo,,"6 Sophora Way, Albany 0630 ",,Money,,,,,,,,,,
Labour Party,North Shore,UDANGA,Romy,,,"North Shore Labour Electorate Committee, 28 Summer Street, Stanley Point, Auckland ",6/9/2020,NO," $18,704.89 ",,,North Shore Labour Electorate Committee ,"28 Summer Street, Stanley Point, Auckland ","c/o Michael Linzey, ($10,000 9 June 2020 and $8,704.39 14 August 2020) ",Money,,,,,,,,,,
Labour Party,North Shore,UDANGA,Romy,,,Emiliana Shi 395 Lake Road Takapuan ,7/13/2020,NO," $1,540.00 ",,Emiliana Shi,,395 Lake Road Takapuan ,,Money,,,,,,,,,,
Labour Party,West Coast-Tasman,O'CONNOR,Damien," $22,409.00 "," $18,423.91 ",,,,,,,,,,,,,,,,,,,,
Labour Party,West Coast-Tasman,O'CONNOR,Damien,,,"Larine Rothenberg, 709 Waiwhero Road, Ngatimoti 7196",6/10/2020,NO," $1,250.00 ",,Larine Rothenberg,,"709 Waiwhero Road, Ngatimoti 7196",,Money,,,,,,,,,,Entered as a joint donation of $2500 with Peter Jay Rothenberg
Labour Party,West Coast-Tasman,O'CONNOR,Damien,,,"Peter Jay Rothenberg, 709 Waiwhero Road, Ngatimoti 7196",6/10/2020,NO," $1,250.00 ",,Peter Jay Rothenberg,,"709 Waiwhero Road, Ngatimoti 7196",,Money,,,,,,,,,,Entered as a joint donation of $2500 with Larine Rothenberg
Labour Party,West Coast-Tasman,O'CONNOR,Damien,,,"Joan Eliane Butts 517 Abel Tasman Drive, Motupipi 7183",7/16/2020,NO, $750.00 ,,Joan Eliane Butts,,"517 Abel Tasman Drive, Motupipi 7183",,Money,,,,,,,,,,
Labour Party,West Coast-Tasman,O'CONNOR,Damien,,,"Robert James Butts 517 Abel Tasman Drive, Motupipi 7183",7/16/2020,NO, $750.00 ,,Robert James Butts,,"517 Abel Tasman Drive, Motupipi 7183",,,,,,,,,,,,Entered as a joint donation of $1500 with Robert James Butts 
Labour Party,West Coast-Tasman,O'CONNOR,Damien,,,Warrick Cliene Level 10 Sun Wah Tower 115 Nguyen Hue Street District 1 Vietham,6/22/2020,NO," $1,500.00 ",,Warrick Cliene,,Level 10 Sun Wah Tower 115 Nguyen Hue Street District 1 Vietham,,Money,,,,,,,,,,Entered as a joint donation of $1500 with Joan Eliane Butts
Labour Party,West Coast-Tasman,O'CONNOR,Damien,,,NZ Labour Party Westcoast Tasman Labour Electorate Committee c/- John Murphy 23 Wallace Street Motueka 7120,10/14/2020,YES," $16,909.00 ",,,NZ Labour Party Westcoast Tasman Labour Electorate Committee,23 Wallace Street Motueka 7120,c/- John Murphy,Money,,,,,,,,,,
Labour Party,West Coast-Tasman,O'CONNOR,Damien,,,NZ Labour Party Westcoast Tasman Labour Electorate Committee c/- John Murphy 23 Wallace Street Motueka 7121,10/14/2020,YES,,,,NZ Labour Party Westcoast Tasman Labour Electorate Committee,23 Wallace Street Motueka 7120,c/- John Murphy,Money,"Wilsons Abel Tasman Limited, 409 High Street Motueka 7120",10/14/2020,Westcoast Tasman LEC," $2,295.00 ",,Wilsons Abel Tasman Limited,409 High Street Motueka 7120,,Money,
National Party,New Lynn,WHYTE,Lisa," $22,943.72 "," $13,958.61 ",,,,,,,,,,,,,,,,,,,,
National Party,New Lynn,WHYTE,Lisa,,,"NZ National Party New Lynn, 41 Pipitea St, Wellington",10/17/2020,NO," $20,835.66 ",,,NZ National Party New Lynn,"41 Pipitea Street, Wellington",,Money,,,,,,,,,,Missing name of individual at whose direction the donation was made
National Party,New Lynn,WHYTE,Lisa,,,"Dame Hilda Ross Foundation, 41 Pipitea St, Wellington",11/1/2020,NO," $1,500.00 ",,,Dame Hilda Ross Foundation,"41 Pipitea Street, Wellington",,Money,,,,,,,,,,Missing name of individual at whose direction the donation was made
National Party,New Lynn,WHYTE,Lisa,,,"NZ National Party, 41 Pipitea St, Wellington",10/1/2020,NO, $608.06 ,,,NZ National Party,"41 Pipitea Street, Wellington",,Money,,,,,,,,,,Missing name of individual at whose direction the donation was made
National Party,Rotorua,McCLAY,Todd," $23,000.00 "," $22,537.61 ",,,,,,,,,,,,,,,,,,,,
National Party,Rotorua,McCLAY,Todd,,,"NZ National Party, Rotorua electorate, 41 Pipitea St, Wgtn",1/06/20-31/10/20,NO," $23,000.00 ",,,"NZ National Party, Rotorua electorate","41 Pipitea Street, Wellington",,Money,,,,,,,,,,Missing name of individual at whose direction the donation was made
Vision New Zealand,Waiariki,TAMAKI,Hannah," $23,036.37 "," $24,968.37 ",,,,,,,,,,,,,,,,,,,,
Vision New Zealand,Waiariki,TAMAKI,Hannah,,,"VISION NEW ZEALAND PARTY 44 Bob Charles Drive, Golflands Botany, Auckland",16/06/20-25/01/21,NO," $23,036.37 ",,,VISION NEW ZEALAND PARTY,"44 Bob Charles Drive, Golflands Botany, Auckland",,Money,,,,,,,,,,
Labour Party,Maungakiekie,RADHAKRISHNAN,Priyanca," $23,301.00 "," $9,423.03 ",,,,,,,,,,,,,,,,,,,,
Labour Party,Maungakiekie,RADHAKRISHNAN,Priyanca,,,"Dinesh Khadka, 38 Waller Avenue, Bucklands Beach Auckland","14/06/20, 16/10/20",NO," $2,801.00 ",,Dinesh Khadka,,"38 Waller Avenue, Bucklands Beach Auckland",,Money,,,,,,,,,,
Labour Party,Maungakiekie,RADHAKRISHNAN,Priyanca,,,"Karl Petrie, 17 West End Road, Herne Bay Auckland",25/09/20,NO," $3,000.00 ",,Karl Petrie,,"17 West End Road, Herne Bay Auckland",,Money,,,,,,,,,,
Labour Party,Maungakiekie,RADHAKRISHNAN,Priyanca,,,"Ranjna Patel, 8 Manor Park, Sunnyhills Auckland","25/06/20, 27/06/20",NO," $2,000.00 ",,Ranjna Patel,,"8 Manor Park, Sunnyhills Auckland",,Money,,,,,,,,,,
Labour Party,Maungakiekie,RADHAKRISHNAN,Priyanca,,,"New Zealand Labour Party Maungakiekie LEC 160 Willis Street, Wellington",10/07/2020,YES," $15,500.00 ",,,New Zealand Labour Party Maungakiekie LEC ,"160 Willis Street, Wellington",,Money,,,,,,,,,,Missing name of individual at whose direction the donation was made
Labour Party,Maungakiekie,RADHAKRISHNAN,Priyanca,,,"New Zealand Labour Party Maungakiekie LEC 160 Willis Street, Wellington",10/07/2020,YES,,,,New Zealand Labour Party Maungakiekie LEC ,"160 Willis Street, Wellington",,Money,"Former Onehunga Electorate Trust, 15 Torrance St, Auckand",7/10/2020,Maungakiekie LEC," $10,000.00 ",,Former Onehunga Electorate Trust,"15 Torrance St, Auckand", c/o Robert Gallagher,Money,
National Party,East Coast,TAPSELL,Tania," $23,315.24 "," $22,050.66 ",,,,,,,,,,,,,,,,,,,,
National Party,East Coast,TAPSELL,Tania,,,"Fred Lewis, 512 Nelson Rd, RD1, Gisborne.",7/2/2020,NO," $10,000.00 ",,Fred Lewis,,"512 Nelson Rd, RD1, Gisborne.",,Money,,,,,,,,,,
National Party,East Coast,TAPSELL,Tania,,,"NZ National Party, East Coast Electorate, 41 Pipitea St Wellington",,NO," $13,315.24 ",,,"NZ National Party, East Coast Electorate","41 Pipitea St, Wellington",,Money,,,,,,,,,,"Date information incomplete (""1 Jun - Nov 2020""); Missing name of individual at whose direction the donation was made"
National Party,Māngere,LOHENI,Agnes," $23,533.00 "," $10,815.25 ",,,,,,,,,,,,,,,,,,,,
National Party,Māngere,LOHENI,Agnes,,,"Auckland Nationalist Centre Inc, 107 Great South Rd, Auckland Auckland",7/13/2020,NO," $3,450.00 ",,,Auckland Nationalist Centre Inc (Chair: Andrew Hunt),"107 Great South Rd, Auckland",(Chair: Andrew Hunt),Money,,,,,,,,,,
National Party,Māngere,LOHENI,Agnes,,,"Dalkara GP Limited, 4 Cunningham Place, Conifer Grove, Auckland",6/29/2020,NO," $5,000.00 ",,,Dalkara GP Limited,"4 Cunningham Place, Conifer Grove, Auckland",,Money,,,,,,,,,,
National Party,Māngere,LOHENI,Agnes,,,"NZ National Party Pakuranga, 41 Pipitea St, Wellington",7/24/2020,NO," $2,250.00 ",,,NZ National Party Pakuranga,"41 Pipitea Street, Wellington",,Money,,,,,,,,,,
National Party,Māngere,LOHENI,Agnes,,,"NZ National Party Papakura, 41 Pipitea St, Wellington",10/7/2020,NO," $5,000.00 ",,,NZ National Party Papakura,"41 Pipitea Street, Wellington",,Money,,,,,,,,,,
National Party,Māngere,LOHENI,Agnes,,,"NZ National Party Waikato, 41 Pipitea St, Wellington",10/9/2020,NO," $2,500.00 ",,,NZ National Party Waikato,"41 Pipitea Street, Wellington",,Money,,,,,,,,,,
National Party,Māngere,LOHENI,Agnes,,,"NZ National Party Botany, 41 Pipitea St, Wellington",10/9/2020,NO," $2,000.00 ",,,NZ National Party Botany,"41 Pipitea Street, Wellington",,Money,,,,,,,,,,
National Party,Māngere,LOHENI,Agnes,,,"Jon Baulcomb, 14 Waddon Place, Mangere, Auckland",7/10/20-18/10/20,NO," $3,333.00 ",,Jon Baulcomb,,"14 Waddon Place, Mangere, Auckland",,Money,,,,,,,,,,
National Party,Taupō,UPSTON,Louise," $23,736.56 "," $23,736.56 ",,,,,,,,,,,,,,,,,,,,
National Party,Taupō,UPSTON,Louise,,,"NZ National Party Taupo Electorate, 41 Pipitea Street, Wellington",11/24/2020,NO, $225.40 ,,,NZ National Party Taupo Electorate,"41 Pipitea St, Wellington",,Money,,,,,,,,,,Missing name of individual at whose direction the donation was made
National Party,Taupō,UPSTON,Louise,,,"NZ National Party Taupo Electorate, 41 Pipitea Street, Wellington",11/16/2020,NO, $718.75 ,,,NZ National Party Taupo Electorate,"41 Pipitea St, Wellington",,Money,,,,,,,,,,Missing name of individual at whose direction the donation was made
National Party,Taupō,UPSTON,Louise,,,"NZ National Party Taupo Electorate, 41 Pipitea Street, Wellington",10/30/2020,NO, $251.43 ,,,NZ National Party Taupo Electorate,"41 Pipitea St, Wellington",,Money,,,,,,,,,,Missing name of individual at whose direction the donation was made
National Party,Taupō,UPSTON,Louise,,,"NZ National Party Taupo Electorate, 41 Pipitea Street, Wellington",10/27/2020,NO, $50.00 ,,,NZ National Party Taupo Electorate,"41 Pipitea St, Wellington",,Money,,,,,,,,,,Missing name of individual at whose direction the donation was made
National Party,Taupō,UPSTON,Louise,,,"NZ National Party Taupo Electorate, 41 Pipitea Street, Wellington",11/10/2020,NO," $1,643.35 ",,,NZ National Party Taupo Electorate,"41 Pipitea St, Wellington",,Money,,,,,,,,,,Missing name of individual at whose direction the donation was made
National Party,Taupō,UPSTON,Louise,,,"NZ National Party Taupo Electorate, 41 Pipitea Street, Wellington",11/18/2020,NO, $907.64 ,,,NZ National Party Taupo Electorate,"41 Pipitea St, Wellington",,Money,,,,,,,,,,Missing name of individual at whose direction the donation was made
National Party,Taupō,UPSTON,Louise,,,"NZ National Party Taupo Electorate, 41 Pipitea Street, Wellington",10/27/2020,NO, $202.50 ,,,NZ National Party Taupo Electorate,"41 Pipitea St, Wellington",,Money,,,,,,,,,,Missing name of individual at whose direction the donation was made
National Party,Taupō,UPSTON,Louise,,,"NZ National Party Taupo Electorate, 41 Pipitea Street, Wellington",9/29/2020,NO," $1,209.43 ",,,NZ National Party Taupo Electorate,"41 Pipitea St, Wellington",,Money,,,,,,,,,,Missing name of individual at whose direction the donation was made
National Party,Taupō,UPSTON,Louise,,,"NZ National Party Taupo Electorate, 41 Pipitea Street, Wellington",9/1/2020,NO," $3,036.35 ",,,NZ National Party Taupo Electorate,"41 Pipitea St, Wellington",,Money,,,,,,,,,,Missing name of individual at whose direction the donation was made
National Party,Taupō,UPSTON,Louise,,,"NZ National Party Taupo Electorate, 41 Pipitea Street, Wellington",8/25/2020,NO," $2,914.56 ",,,NZ National Party Taupo Electorate,"41 Pipitea St, Wellington",,Money,,,,,,,,,,Missing name of individual at whose direction the donation was made
National Party,Taupō,UPSTON,Louise,,,"NZ National Party Taupo Electorate, 41 Pipitea Street, Wellington",8/27/2020,NO, $173.65 ,,,NZ National Party Taupo Electorate,"41 Pipitea St, Wellington",,Money,,,,,,,,,,Missing name of individual at whose direction the donation was made
National Party,Taupō,UPSTON,Louise,,,"NZ National Party Taupo Electorate, 41 Pipitea Street, Wellington",10/12/2020,NO, $673.62 ,,,NZ National Party Taupo Electorate,"41 Pipitea St, Wellington",,Money,,,,,,,,,,Missing name of individual at whose direction the donation was made
National Party,Taupō,UPSTON,Louise,,,"NZ National Party Taupo Electorate, 41 Pipitea Street, Wellington",10/30/2020,NO," $7,621.96 ",,,NZ National Party Taupo Electorate,"41 Pipitea St, Wellington",,Money,,,,,,,,,,Missing name of individual at whose direction the donation was made
National Party,Taupō,UPSTON,Louise,,,"NZ National Party Taupo Electorate, 41 Pipitea Street, Wellington",10/30/2020,NO," $2,372.52 ",,,NZ National Party Taupo Electorate,"41 Pipitea St, Wellington",,Money,,,,,,,,,,Missing name of individual at whose direction the donation was made
National Party,Taupō,UPSTON,Louise,,,"NZ National Party Taupo Electorate, 41 Pipitea Street, Wellington",8/4/2020,NO," $1,326.23 ",,,NZ National Party Taupo Electorate,"41 Pipitea St, Wellington",,Money,,,,,,,,,,Missing name of individual at whose direction the donation was made
National Party,Taupō,UPSTON,Louise,,,"NZ National Party, 41 Pipitea Street, Wellington",8/27/2020,NO, $159.18 ,,,NZ National Party,"41 Pipitea St, Wellington",,Money,,,,,,,,,,
National Party,Taupō,UPSTON,Louise,,,"NZ National Party Taupo Electorate, 41 Pipitea Street, Wellington",1/31/2020,NO, $250.00 ,,,NZ National Party Taupo Electorate,"41 Pipitea St, Wellington",,Money,,,,,,,,,,Missing name of individual at whose direction the donation was made
National Party,Southland,MOONEY,Joseph," $24,166.23 "," $16,730.73 ",,,,,,,,,,,,,,,,,,,,
National Party,Southland,MOONEY,Joseph,,,"NZ National Party, Southland electorate, 41 Pipitea St, Wgtn",8/31/2020,NO," $7,519.10 ",,,"NZ National Party, Southland electorate","41 Pipitea St, Wgtn",,Money,,,,,,,,,,Missing name of individual at whose direction the donation was made
National Party,Southland,MOONEY,Joseph,,,"NZ National Party, Southland electorate, 41 Pipitea St, Wgtn",9/30/2020,NO," $3,526.48 ",,,"NZ National Party, Southland electorate","41 Pipitea St, Wgtn",,Money,,,,,,,,,,Missing name of individual at whose direction the donation was made
National Party,Southland,MOONEY,Joseph,,,"NZ National Party, Southland electorate, 41 Pipitea St, Wgtn",10/31/2020,NO," $13,120.65 ",,,"NZ National Party, Southland electorate","41 Pipitea St, Wgtn",,Money,,,,,,,,,,Missing name of individual at whose direction the donation was made
Labour Party,Christchurch Central,WEBB,Duncan," $25,017.14 "," $13,956.27 ",,,,,,,,,,,,,,,,,,,,
Labour Party,Christchurch Central,WEBB,Duncan,,,"Christchurch Central Labour Electorate Committee, Unit 2, 238 Stanmore Road, Christchurch 8013",1/1/2020,NO," $15,917.14 ",,,Christchurch Central Labour Electorate Committee,"Unit 2, 238 Stanmore Road, Christchurch 8013",,Money,,,,,,,,,,Missing name of individual at whose direction the donation was made
Labour Party,Christchurch Central,WEBB,Duncan,,,"Garry Anthony Moore, 103 Warrington Street, Christchurch",6/23/2020,NO," $2,500.00 ",,Garry Anthony Moore,,"103 Warrington Street, Christchurch",,Money,,,,,,,,,,
Labour Party,Christchurch Central,WEBB,Duncan,,,"Pamela Joy Sharpe, 103 Warrington Street, Christchurch",8/13/2020,NO," $2,000.00 ",,Pamela Joy Sharpe,,"103 Warrington Street, Christchurch",,Money,,,,,,,,,,
Labour Party,Christchurch Central,WEBB,Duncan,,,"Simon Jerard, Bekon Media, 6b Washington Way, Christchurch 8011",8/21/2020,NO," $2,300.00 ",,Simon Jerard,,"6b Washington Way, Christchurch 8011",,Money,,,,,,,,,,
Labour Party,Christchurch Central,WEBB,Duncan,,,"Simon Jerard, Bekon Media, 6b Washington Way, Christchurch 8011",10/1/2020,NO," $2,300.00 ",,Simon Jerard,,"6b Washington Way, Christchurch 8011",,Money,,,,,,,,,,
National Party,Ōtaki,COSTLEY,Tim," $25,029.68 "," $24,816.97 ",,,,,,,,,,,,,,,,,,,,
National Party,Ōtaki,COSTLEY,Tim,,,"NZ National Party, 41 Pipitea St, Wellington ",1/31/2020,NO, $751.00 ,,,NZ National Party,"41 Pipitea St, Wellington",,Money,,,,,,,,,,
National Party,Ōtaki,COSTLEY,Tim,,,"NZ National Party, 41 Pipitea St, Wellington ",2/29/2020,NO, $506.00 ,,,NZ National Party,"41 Pipitea St, Wellington",,Money,,,,,,,,,,
National Party,Ōtaki,COSTLEY,Tim,,,"NZ National Party, 41 Pipitea St, Wellington ",6/30/2020,NO," $1,119.30 ",,,NZ National Party,"41 Pipitea St, Wellington",,Money,,,,,,,,,,
National Party,Ōtaki,COSTLEY,Tim,,,"NZ National Party, 41 Pipitea St, Wellington ",7/31/2020,NO," $3,524.84 ",,,NZ National Party,"41 Pipitea St, Wellington",,Money,,,,,,,,,,
National Party,Ōtaki,COSTLEY,Tim,,,"NZ National Party, 41 Pipitea St, Wellington ",8/31/2020,NO," $2,561.73 ",,,NZ National Party,"41 Pipitea St, Wellington",,Money,,,,,,,,,,
National Party,Ōtaki,COSTLEY,Tim,,,"NZ National Party, 41 Pipitea St, Wellington ",9/30/2020,NO, $540.25 ,,,NZ National Party,"41 Pipitea St, Wellington",,Money,,,,,,,,,,
National Party,Ōtaki,COSTLEY,Tim,,,"NZ National Party, 41 Pipitea St, Wellington ",10/31/2020,NO, $905.34 ,,,NZ National Party,"41 Pipitea St, Wellington",,Money,,,,,,,,,,
National Party,Ōtaki,COSTLEY,Tim,,,"NZ National Party, 41 Pipitea St, Wellington ",31/11/20,NO," $15,121.22 ",,,NZ National Party,"41 Pipitea St, Wellington",,Money,,,,,,,,,,
National Party,Bay of Plenty,MULLER,Todd," $25,209.59 "," $25,686.63 ",,,,,,,,,,,,,,,,,,,,
National Party,Bay of Plenty,MULLER,Todd,,,"NZ National Party, Bay of Plenty Electorate",20/07-23/09/20,NO," $25,209.59 ",,,"NZ National Party, Bay of Plenty electorate","41 Pipitea St, Wellington",,Money,,,,,,,,,,Missing name of individual at whose direction the donation was made
New Conservative,Takanini,IKILEI,Elliot," $25,715.00 "," $12,657.44 ",,,,,,,,,,,,,,,,,,,,
New Conservative,Takanini,IKILEI,Elliot,,,"Martin Ng, 16 Vause St, Ellerslie, Auckland ",8/16/2020,NO," $7,000.00 ",,Martin Ng,,"16 Vause St, Ellerslie, Auckland ",,Money,,,,,,,,,,
New Conservative,Takanini,IKILEI,Elliot,,,"New Conservative Party, 35 Lenore Rd, Favona, Auckland ",6/1/2020,NO," $3,000.00 ",,,New Conservative Party,"35 Lenore Rd, Favona, Auckland ",,Money,,,,,,,,,,Missing name of individual at whose direction the donation was made
New Conservative,Takanini,IKILEI,Elliot,,,"Laurence Day, 201 Horsham downs Rd, Hamilton ",8/12/2020,NO," $2,995.00 ",,Laurence Day,,"201 Horsham downs Rd, Hamilton ",,Money,,,,,,,,,,
New Conservative,Takanini,IKILEI,Elliot,,,"Katrina Day, 201 Horsham Downs Rd, Hamilton ",9/15/2020,NO," $10,995.00 ",,Katrina Day,,"201 Horsham Downs Rd, Hamilton ",,Money,,,,,,,,,,
New Conservative,Takanini,IKILEI,Elliot,,,"New Conaservative, Broaqdcasting Allowance ",10/12/2020,NO," $1,725.00 ",,,New Conaservative,,Broaqdcasting Allowance ,Money,,,,,,,,,,Missing address; Missing name of individual at whose direction the donation was made; Typos
NZ Public Party,Te Tai Tokerau,TE KAHIKA,Billy," $27,812.18 "," $27,812.18 ",,,,,,,,,,,,,,,,,,,,
NZ Public Party,Te Tai Tokerau,TE KAHIKA,,,,"ADVANCE NEW ZEALAND, P.O BOX 230-109, BOTANY, AKLD",6/08/2020-15/11/2020,NO," $27,812.16 ",,,ADVANCE NEW ZEALAND,"P.O BOX 230-109, BOTANY, AKLD",,Money,,,,,,,,,,Missing name of individual at whose direction the donation was made
National Party,Rangitata,HANDS,Megan," $28,057.18 "," $22,697.43 ",,,,,,,,,,,,,,,,,,,,
National Party,Rangitata,HANDS,Megan,,,"NZ National Party, Rangitata Electorate, 41 Pipitea St, Wellington",9/10/2020,NO, $517.50 ,,,"NZ National Party, Rangitata Electorate","41 Pipitea St, Wellington",,Money,,,,,,,,,,Missing name of individual at whose direction the donation was made
National Party,Rangitata,HANDS,Megan,,,"NZ National Party, Rangitata Electorate, 41 Pipitea St, Wellington",8/25/2020,NO, $207.00 ,,,"NZ National Party, Rangitata Electorate","41 Pipitea St, Wellington",,Money,,,,,,,,,,Missing name of individual at whose direction the donation was made
National Party,Rangitata,HANDS,Megan,,,"NZ National Party, Rangitata Electorate, 41 Pipitea St, Wellington",8/31/2020,NO, $530.30 ,,,"NZ National Party, Rangitata Electorate","41 Pipitea St, Wellington",,Money,,,,,,,,,,Missing name of individual at whose direction the donation was made
National Party,Rangitata,HANDS,Megan,,,"NZ National Party, Rangitata Electorate, 41 Pipitea St, Wellington",9/25/2020,NO," $1,334.00 ",,,"NZ National Party, Rangitata Electorate","41 Pipitea St, Wellington",,Money,,,,,,,,,,Missing name of individual at whose direction the donation was made
National Party,Rangitata,HANDS,Megan,,,"NZ National Party, Rangitata Electorate, 41 Pipitea St, Wellington",07/09/20-24/11/20,NO," $12,837.39 ",,,"NZ National Party, Rangitata Electorate","41 Pipitea St, Wellington",,Money,,,,,,,,,,Missing name of individual at whose direction the donation was made
National Party,Rangitata,HANDS,Megan,,,"NZ National Party, Rangitata Electorate, 41 Pipitea St, Wellington",31/07/20-27/10/20,NO, $851.00 ,,,"NZ National Party, Rangitata Electorate","41 Pipitea St, Wellington",,Money,,,,,,,,,,Missing name of individual at whose direction the donation was made
National Party,Rangitata,HANDS,Megan,,,"NZ National Party, Rangitata Electorate, 41 Pipitea St, Wellington",8/18/2020,NO," $3,153.14 ",,,"NZ National Party, Rangitata Electorate","41 Pipitea St, Wellington",,Money,,,,,,,,,,Missing name of individual at whose direction the donation was made
National Party,Rangitata,HANDS,Megan,,,"NZ National Party, Rangitata Electorate, 41 Pipitea St, Wellington",21/09/20-20/10/20,NO," $4,137.93 ",,,"NZ National Party, Rangitata Electorate","41 Pipitea St, Wellington",,Money,,,,,,,,,,Missing name of individual at whose direction the donation was made
National Party,Rangitata,HANDS,Megan,,,"NZ National Party, Rangitata Electorate, 41 Pipitea St, Wellington",29/10/20-04/11/20,NO," $4,488.92 ",,,"NZ National Party, Rangitata Electorate","41 Pipitea St, Wellington",,Money,,,,,,,,,,Missing name of individual at whose direction the donation was made
National Party,Coromandel,SIMPSON,Scott," $28,200.00 "," $20,493.83 ",,,,,,,,,,,,,,,,,,,,
National Party,Coromandel,SIMPSON,Scott,,,"Coromandel Electorate, NZ National Party, 41 Pipitea St, Wgtn",3/16/2020,NO," $26,000.00 ",,,"Coromandel Electorate, NZ National Party","41 Pipitea St, Wgtn",,Money,,,,,,,,,,Missing name of individual at whose direction the donation was made
National Party,Coromandel,SIMPSON,Scott,,,"Coromandel Electorate, NZ National Party, 41 Pipitea St, Wgtn",11/3/2020,NO," $2,200.00 ",,,"Coromandel Electorate, NZ National Party","41 Pipitea St, Wgtn",,Money,,,,,,,,,,Missing name of individual at whose direction the donation was made
Labour Party,Auckland Central,WHITE,Helen," $28,280.00 "," $23,239.70 ",,,,,,,,,,,,,,,,,,,,
Labour Party,Auckland Central,WHITE,Helen,,,"AWUNZ Union, 147 Great North Rd, Auckland 1021",9/10/2020,NO," $5,000.00 ",,,AWUNZ Union,"147 Great North Rd, Auckland 1021",,Money,,,,,,,,,,
Labour Party,Auckland Central,WHITE,Helen,,,"Robert Phillip Smellie, Grace Joel Retirement Village, 59/184 St Heliers Bay Rd, Auckland 1071",10/13/2020,NO," $2,000.00 ",,Robert Phillip Smellie,Grace Joel Retirement Village,"59/184 St Heliers Bay Rd, Auckland 1071",,Money,,,,,,,,,,
Labour Party,Auckland Central,WHITE,Helen,,,"Phantom Billstickers, 255 Great North Rd, Grey Lynn, Auckland discount Inv 23011",9/28/2020,NO," $3,690.00 ",,,Phantom Billstickers,"255 Great North Rd, Grey Lynn, Auckland discount Inv 23011",,Money,,,,,,,,,,
Labour Party,Auckland Central,WHITE,Helen,,,"Phantom Billstickers, 255 Great North Rd, Grey Lynn, Auckland discount Inv 23011",9/13/2020,NO," $2,640.00 ",,,Phantom Billstickers,"255 Great North Rd, Grey Lynn, Auckland discount Inv 23011",,Money,,,,,,,,,,
